,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
198,1993,regular,Tito Horford,Center,28,WSB,3,0,0.3,1.0,0.0
199,1993,regular,Jeff Hornacek,Shooting Guard,30,TOT,80,62,2.1,2.3,15.9
202,1993,regular,Robert Horry,Small Forward,23,HOU,81,81,1.7,2.3,9.9
203,1993,regular,Allan Houston,Shooting Guard,22,DET,79,20,1.3,2.1,8.5
204,1993,regular,Byron Houston,Power Forward,24,GSW,71,2,0.7,2.5,2.8
205,1993,regular,Stephen Howard,Small Forward,23,UTA,9,0,0.7,1.4,3.4
206,1993,regular,Jay Humphries,Shooting Guard,31,UTA,75,19,1.3,2.2,7.5
207,1993,regular,Lindsey Hunter,Point Guard,23,DET,82,26,2.2,2.1,10.3
208,1993,regular,Bobby Hurley,Point Guard,22,SAC,19,19,2.5,1.5,7.1
209,1993,regular,Jaren Jackson,Shooting Guard,26,POR,29,0,0.5,0.7,2.8
210,1993,regular,Jim Jackson,Shooting Guard,23,DAL,82,82,4.1,2.0,19.2
211,1993,regular,Mark Jackson,Point Guard,28,LAC,79,79,2.9,1.5,10.9
212,1993,regular,Stanley Jackson,Shooting Guard,23,MIN,17,0,0.6,0.8,2.2
213,1993,regular,Dave Jamerson,Shooting Guard,26,TOT,5,0,0.2,0.0,0.4
216,1993,regular,Henry James,Power Forward,28,LAC,12,0,0.2,0.8,3.4
217,1993,regular,Keith Jennings,Point Guard,25,GSW,76,2,1.0,0.8,5.7
218,1993,regular,Chris Jent,Small Forward,24,HOU,3,0,1.7,4.3,10.3
219,1993,regular,Avery Johnson,Point Guard,28,GSW,82,70,2.1,2.0,10.9
220,1993,regular,Dave Johnson,Shooting Guard,23,CHI,17,0,0.5,0.4,2.8
221,1993,regular,Eddie Johnson,Small Forward,34,CHH,73,27,1.2,2.0,11.5
222,1993,regular,Ervin Johnson,Center,26,SEA,45,3,0.5,1.0,2.6
223,1993,regular,Frank Johnson,Point Guard,35,PHO,70,5,0.9,1.7,4.6
224,1993,regular,Kevin Johnson,Point Guard,27,PHO,67,67,3.5,1.9,20.0
225,1993,regular,Larry Johnson,Power Forward,24,CHH,51,51,2.3,2.6,16.4
226,1993,regular,Charles Jones,Center,36,DET,42,0,0.3,3.2,2.2
227,1993,regular,Popeye Jones,Power Forward,23,DAL,81,47,1.2,3.0,5.8
228,1993,regular,Adonis Jordan,Point Guard,23,DEN,6,0,1.0,1.0,2.5
229,1993,regular,Reggie Jordan,Shooting Guard,26,LAL,23,0,0.6,1.1,5.4
230,1993,regular,Adam Keefe,Power Forward,23,ATL,63,1,1.0,1.3,4.3
231,1993,regular,Shawn Kemp,Power Forward,24,SEA,79,73,3.3,3.9,18.1
232,1993,regular,Tim Kempton,Power Forward,30,TOT,13,0,0.8,2.5,3.0
235,1993,regular,Steve Kerr,Point Guard,28,CHI,82,0,0.7,1.2,8.6
236,1993,regular,Jerome Kersey,Small Forward,31,POR,78,6,0.8,2.7,6.5
237,1993,regular,Alec Kessler,Power Forward,27,MIA,15,0,0.3,0.9,2.2
238,1993,regular,Warren Kidd,Power Forward,23,PHI,68,14,0.6,1.9,3.6
239,1993,regular,Chris King,Small Forward,24,SEA,15,0,0.8,0.8,3.7
240,1993,regular,Rich King,Center,24,SEA,27,0,0.3,0.7,1.5
241,1993,regular,Stacey King,Center,27,TOT,49,30,1.7,2.5,7.9
244,1993,regular,Greg Kite,Center,32,ORL,29,0,0.6,2.1,1.2
